Какой класс опасности присваивается Версии, МД? | Версия, МД относится к 2 классу опасности как высокоопасное вещество.
В чем заключается особенность действия Версии, МД на сорные растения? | Версия, МД обладает двумя механизмами действия - ингибированием деления клеток корней сорных растений (пропизохлор) и транспортом электронов при фотосинтезе (тербутилазин), что позволяет эффективно бороться как с прорастающими семенами, так и уже взошедшими растениями.
Как долго можно хранить препарат Версия, МД? | Гарантийный срок хранения Версии, МД составляет 2 года при температурном интервале от минус 15°C до плюс 35°C.
Можно ли использовать Версию, МД в баковых смесях с другими пестицидами? | Да, Версия, МД может использоваться в баковых смесях с другими пестицидами, предварительно проверив их физико-химическую совместимость.
Какие меры предпринимаются перед применением Версии, МД? | Перед применением Версии, МД следует предварительно проверить совместимость компонентов баковой смеси, если планируется его использование в смеси с другими пестицидами.
Какие виды сорных растений могут быть подавлены Версией, МД в течение нескольких дней? | Сорные растения, воздействие на которые наступает через несколько дней после их прорастания, подавляются Версией, МД.
Как долго действует Версия, МД после обработки? | Однократное применение Версии, МД обеспечивает защитное действие на срок 60-80 дней, в основном в течение всего вегетационного периода.
В каких случаях нежелательны междурядные обработки после применения Версии, МД? | Нежелательно проводить междурядные обработки в течение 2-3 недель после применения Версии, МД, чтобы не нарушать экран.
Какие виды сорных растений считаются высокочувствительными к Версии, МД? | Высокочувствительные виды сорных растений к Версии, МД включают ежовник обыкновенный, щетинник сизый, росичка кроваво-красная и другие.
Можно ли применять Версию, МД совместно с другими пестицидами? | Версия, МД эффективна при самостоятельном применении, однако при использовании в баковых смесях следует предварительно проверить совместимость компонентов.
Каков механизм действия пропизохлора в составе Версия, МД? | Пропизохлор, абсорбируясь корнями проростков, ингибирует деление меристемных клеток, синтез белков и нуклеиновых кислот, что приводит к подавлению роста корней и гибели проростков.
Какие культуры можно обработать с использованием Версии, МД? | Версия, МД рекомендуется для обработки кукурузы, подсолнечника и сои с целью контроля однолетних двудольных и злаковых сорных растений.
Какой химический класс принадлежит Версии, МД? | Версия, МД относится к химическому классу триазинов и хлорацетамидов.
С какими штанговыми опрыскивателями можно использовать Версию, МД? | Версию, МД рекомендуется применять с штанговыми опрыскивателями марок Амазоне, Лемкен, Харди, ОПШ-15-01, ОП-2000-2-01 или аналогичными.
Какой химический класс принадлежит Версии, МД? | Версия, МД принадлежит к химическому классу триазинов и хлорацетамидов.
Какие виды сорных растений подавляются Версией, МД? | Версия, МД подавляет однолетние злаковые и двудольные сорные растения, включая высокочувствительные виды, такие как ежовник обыкновенный, щетинник сизый и другие.
Какие виды сорных растений могут быть подавлены Версией, МД наиболее эффективно? | Версия, МД эффективно подавляет высокочувствительные виды сорных растений, такие как щетинник зеленый, мятлик однолетний и другие.
Сколько времени требуется для начала воздействия Версия, МД на сорные растения? | Гибель сорных растений наступает через несколько дней после их прорастания под воздействием Версия, МД.
Какие виды сорных растений подавляются Версией, МД наиболее слабо? | Слабо чувствительные виды сорных растений, такие как амброзия полыннолистная, горец почечуйный, горчица полевая и канатник Теофраста, подавляются Версией, МД наиболее слабо.
В каких случаях рекомендуется проводить обработку максимальной дозой Версии, МД? | Обработку максимальной дозой Версии, МД рекомендуется при высоком содержании гумуса в почве.
Какие виды сорных растений считаются умеренно чувствительными к Версии, МД? | К умеренно чувствительным видам сорных растений к Версии, МД относятся гибискус тройчатый, гречиха татарская и фаллопия вьюнковая.
Как готовить рабочий раствор Версия, МД перед применением? | Рабочий раствор Версия, МД готовится непосредственно перед применением путем приготовления маточного раствора, который затем разбавляется в баке опрыскивателя.
В каких случаях рекомендуется использовать Версия, МД? | Препарат Версия, МД рекомендуется для обработки культур, таких как кукуруза, подсолнечник, и соя, с целью уничтожения однолетних двудольных и злаковых сорных растений.
Какие виды сорных растений подавляются Версией, МД наиболее эффективно? | Версия, МД эффективно подавляет высокочувствительные виды сорных растений, такие как ежовник обыкновенный, щетинник сизый, росичка кроваво-красная и другие.
Какие культуры могут быть обработаны Версией, МД? | Версия, МД рекомендуется для обработки культур, таких как кукуруза, подсолнечник и соя, с целью контроля над однолетними двудольными и злаковыми сорняками.
Как долго длится защитное действие Версия, МД после обработки? | Однократное применение Версия, МД обеспечивает чистоту посевов в течение 60-80 дней, в основном на протяжении всего вегетационного периода.
Какими характеристиками обладает Версия, МД? | Версия, МД - это довсходовый гербицид в масляной формуляции с расширенным спектром действия по двудольным и злаковым сорнякам.
Какие преимущества предоставляет применение Версия, МД? | Преимущества препарата Версия, МД включают расширенный спектр действия на сорняки, длительный период защиты, отсутствие фитотоксичности для культур и ограничений по севообороту, а также возможность применения без заделки в почву.
Какие сорные растения подавляются Версией, МД наиболее эффективно? | Версия, МД эффективно подавляет высокочувствительные виды сорных растений, такие как ежовник обыкновенный, щетинник сизый и росичка кроваво-красная.
Как действует пропизохлор, входящий в состав Версии, МД? | Пропизохлор, абсорбируясь корнями проростков, ингибирует деление меристемных клеток, снижает синтез белков и нуклеиновых кислот, что приводит к подавлению роста корней и гибели проростков.
Какой период защитного действия обеспечивает Версия, МД? | Однократное применение Версии, МД обеспечивает защитное действие на срок 60-80 дней, в основном в течение всего вегетационного периода.
Какие преимущества имеет Версия, МД? | Преимущества Версии, МД включают расширенный спектр действия, длительное защитное действие, отсутствие фитотоксичности для культур и ограничений по севообороту, а также возможность использования без заделки в почву.
Какие виды сорных растений считаются высокочувствительными к Версии, МД? | К высокочувствительным видам сорных растений к Версии, МД относятся ежовник обыкновенный, щетинник сизый и росичка кроваво-красная.
Какие сорные растения подавляет Версия, МД? | Препарат Версия, МД подавляет однолетние злаковые и двудольные сорные растения, включая виды как высокочувствительные, так и менее чувствительные к нему.
В каких случаях рекомендуется применение Версии, МД? | Версия, МД рекомендуется для обработки кукурузы, подсолнечника и сои с целью уничтожения однолетних двудольных и злаковых сорных растений.
Какие виды сорных растений считаются слабо чувствительными к Версии, МД? | Слабо чувствительные виды к Версии, МД включают амброзию полыннолистную, горца почечуйного, горчицу полевую и канатник Теофраста.
Как долго длится период защитного действия Версии, МД? | Однократное применение Версии, МД обеспечивает защитное действие на протяжении 60-80 дней, в основном в течение всего вегетационного периода.
Каково действие компонентов Версии, МД на сорные растения? | Компоненты Версии, МД (пропизохлор и тербутилазин) подавляют рост и развитие корней сорных растений, вызывая гибель проростков.
В чем состоит способ обработки с использованием Версии, МД? | Версия, МД применяется путем опрыскивания почвы до посева, после посева или до появления культуры согласно рекомендациям и технологии применения.
В чем заключается действие тербутилазина, входящего в состав Версии, МД? | Тербутилазин, абсорбируясь корнями и листьями сорных растений, ингибирует транспорт электронов при фотосинтезе, что приводит к гибели сорных растений.
Чем отличается препарат Версия, МД от других гербицидов? | Препарат Версия, МД является довсходовым гербицидом в масляной формуляции, обладающим расширенным спектром действия по двудольным и злаковым сорнякам.
Какие культуры могут быть обработаны с использованием Версии, МД? | Кукуруза, подсолнечник и соя могут быть обработаны препаратом Версия, МД для контроля над однолетними двудольными и злаковыми сорняками.
Какие особенности присутствуют в способе использования Версии, МД? | Версия, МД применяется путем опрыскивания почвы до посева, после посева или до появления культуры, с учетом рекомендаций и спецификации применения.
Каким классом опасности обладает Версия, МД? | Версия, МД относится к 2 классу опасности, как высокоопасное вещество.
В чем заключается особенность действия Версии, МД на сорные растения? | Версия, МД обладает двумя механизмами действия: подавление деления клеток корней (пропизохлор) и ингибирование транспорта электронов при фотосинтезе (тербутилазин).
Какие виды сорных растений относятся к умеренно чувствительным к Версии, МД? | Умеренно чувствительные виды к Версии, МД включают гибискус тройчатый, гречиху татарскую и фаллопию вьюнковую.
Какие классы сорных растений подавляются Версией, МД? | Версия, МД подавляет однолетние злаковые и двудольные сорные растения.
Какие меры следует предпринять перед применением Версии, МД? | Перед применением Версии, МД рекомендуется проверить физико-химическую совместимость компонентов, если планируется его использование в баковых смесях.
Каким образом тербутилазин воздействует на сорные растения? | Тербутилазин обладает системным действием, ингибируя транспорт электронов при фотосинтезе сорных растений, что приводит к их гибели.
