Какая форма Капелла, МЭ проникает через листья и стебли растений? | Препарат проникает в форме микроэмульсии.
Какой эффект имеет микроэмульсия в составе препарата Капелла, МЭ ? | Микроэмульсия обеспечивает быстрое проникновение и моментальный лечебный эффект.
Каков класс опасности препарата Капелла, МЭ ? | Препарат относится к 2 классу опасности, он является высокоопасным веществом.
Каков температурный интервал хранения препарата Капелла, МЭ ? | Препарат можно хранить в интервале от минус 10 °C до плюс 35 °C.
Какова дозировка препарата Капелла, МЭ для борьбы с фузариозом колоса на пшенице? | Для борьбы с фузариозом колоса дозировка составляет 1,0 л/га.
Какой химический класс принадлежит препарату Капелла, МЭ ? | Препарат относится к химическому классу триазолов.
Какова скорость воздействия препарата Капелла, МЭ ? | Скорость воздействия составляет 2-3 часа после обработки.
Каково время выхода на обработку для препарата Капелла, МЭ ? | Время выхода для обработки препаратом на пшенице - в фазы выхода в трубку до начала колошения.
Кто является регистрантом препарата Капелла, МЭ ? | Регистрантом препарата является АО Щелково Агрохим.
Как долго можно хранить препарат Капелла, МЭ ? | Препарат можно хранить в течение 2 лет.
В каких погодных условиях рекомендуется проводить обработку препаратом Капелла, МЭ ? | Обработку следует проводить в безветренную погоду для равномерного покрытия листьев.
В какой упаковке представлен препарат Капелла, МЭ ? | Препарат упакован в канистры объемом 10 литров.
Какие культурные показатели свидетельствуют о толерантности культур к препарату Капелла, МЭ ? | Культурные растения проявляют высокий уровень толерантности к препарату, наблюдается незначительное пожелтение листьев.
Сколько необходимо препарата Капелла, МЭ для обработки на гектаре пшеницы? | Для пшеницы яровой и озимой, озимого ячменя - 0,8-1,0 л/га.
С какими пестицидами совместим препарат Капелла, МЭ ? | Препарат совместим с большинством пестицидов в баковых смесях, но перед смешиванием рекомендуется провести проверку на совместимость.
Какие культурные растения могут быть обработаны препаратом Капелла, МЭ ? | Препарат применяется на пшенице яровой и озимой, ячмене яровом и озимом.
Какие болезни ржи контролирует препарат Капелла, МЭ ? | Препарат эффективен против мучнистой росы, ржавчины бурой и стеблевой, септориоза листьев и колоса, пиренофороза и других.
Возможно ли возникновение резистентности при использовании препарата Капелла, МЭ ? | При соблюдении рекомендаций по применению препарата резистентность не наблюдается.
Какое количество Капелла, МЭ требуется для обработки 1 гектара озимой пшеницы от фузариоза колоса? | Для обработки 1 гектара озимой пшеницы от фузариоза колоса требуется 1,0 л препарата.
Где находится изготовитель препарата Капелла, МЭ ? | Изготовителем препарата также является АО Щелково Агрохим, Россия.
Сколько активных веществ содержит препарат Капелла, МЭ ? | Препарат содержит комбинацию трех активных веществ.
Какие болезни являются основной целью борьбы с применением препарата Капелла, МЭ ? | Препарат направлен на борьбу с мучнистой росой, ржавчиной бурой и стеблевой, септориозом листьев и колоса, пиренофорозом и другими.
Какие культурные показатели могут измениться после обработки препаратом Капелла, МЭ ? | После обработки могут наблюдаться кратковременное пожелтение листьев, но это не влияет на рост и развитие культуры.
Какое время ожидания после обработки необходимо соблюдать при применении препарата Капелла, МЭ ? | После обработки препаратом необходимо соблюдать время ожидания в течение 3 дней.
Какой эффект наблюдается у растений после обработки препаратом Капелла, МЭ ? | У растений наблюдается ярко выраженный эффект зеленого листа и ростостимулирующая активность.
Что означает механизм действия препарата Капелла, МЭ ? | Механизм действия связан с системным проникновением через листья и стебли, ингибированием биосинтеза стеролов и угнетением спорообразования патогенов.
В какой форме Капелла, МЭ проникает через листья и стебли растений? | Препарат проникает в форме микроэмульсии, что обеспечивает быстрое проникновение и действие.
Какие болезни пшеницы контролирует препарат Капелла, МЭ ? | Препарат эффективен против мучнистой росы, ржавчины бурой и стеблевой, септориоза листьев и колоса, пиренофороза и других.
Можно ли использовать препарат Капелла, МЭ на других зерновых культурах, кроме пшеницы и ячменя? | Препарат предназначен именно для пшеницы и ячменя, на других зерновых его использовать не следует.
Сколько раз в сезон рекомендуется обрабатывать озимую пшеницу препаратом Капелла, МЭ ? | Рекомендуется проводить 3-4 обработки озимой пшеницы препаратом в сезон.
Сколько раз в сезон можно применить препарат Капелла, МЭ на пшенице? | Рекомендуется проводить 3-4 обработки в сезон на пшенице.
Какие болезни пшеницы подавляются препаратом Капелла, МЭ ? | Препарат подавляет мучнистую росу, ржавчину бурую и стеблевую, септориоз листьев и колоса, пиренофороз и другие.
Каков спектр действия препарата Капелла, МЭ ? | Препарат эффективен против мучнистой росы, пиренофороза, ржавчины бурой и стеблевой, карликовой ржавчины, ринхоспориоза, септориоза листьев и колоса, сетчатой, темно-бурой пятнистости и др.
Какие особенности применения препарата Капелла, МЭ ? | Препарат рекомендуется применять в безветренную погоду для равномерного смачивания листьев, интервал между обработкой и выпадением осадков должен быть не менее 3-4 часов.
