Каков гарантийный срок хранения Селфи ? | Гарантийный срок хранения Селфи составляет 3 года.
Какие основные компоненты входят в состав Селфи ? | Селфи содержит производное целлюлозы, вспомогательные компоненты и воду.
Какие особенности применения Селфи ? | Селфи следует применять за 2 недели до уборки, тщательно перемешивать перед использованием, и в случае проведения обработки несколько дней подряд, выполнять промывку оборудования в конце каждого рабочего дня.
Какую роль играет полимерная пленка, созданная Селфи , в процессе обработки стручков? | Полимерная пленка удерживает створки стручка закрытыми, обеспечивая защиту семян от повторного проникновения влаги и позволяя созревать и высыхать естественным образом.
Каким образом Селфи влияет на экологию? | Селфи является биоразлагаемым и малотоксичным для человека и окружающей среды, что способствует снижению негативного воздействия на экологию.
Какие культуры могут быть обработаны с использованием Селфи ? | Селфи может использоваться для обработки культур, таких как рапс, соя и горох.
Когда следует проводить обработку Селфи ? | Оптимальное время для обработки культур Селфи составляет 2 недели до уборки. Ранний срок обработки - 3-4 недели до уборки, а поздний - не позже чем за 1 неделю до запланированной уборки урожая.
Какая основная функция полимерной пленки, создаваемой Селфи ? | Основная функция полимерной пленки, создаваемой Селфи , заключается в предотвращении растрескивания стручков и обеспечении сохранности семян во время созревания и высыхания.
С какими машинами рекомендуется применять Селфи ? | Селфи может использоваться с серийно выпускаемыми опрыскивателями для наземной обработки. Для авиационной обработки рекомендуются самолет Ан-2 и вертолет Ми-2.
Какая упаковка используется для Селфи ? | Селфи упаковывается в канистры объемом 5 и 10 литров.
Какие марки машин рекомендуются для использования с Селфи ? | Селфи может использоваться с любыми серийно выпускаемыми опрыскивателями. Для авиационной обработки подходят самолеты Ан-2 и вертолет Ми-2.
Как действует препарат Селфи ? | Препарат создает на поверхности стручков полимерную пленку, которая предотвращает их растрескивание. Эта пленка позволяет семенам созревать и высыхать естественным образом, удерживая створки стручка закрытыми и защищая семена от повторного проникновения воды (розы и дождя).
Как приготовить рабочий раствор Селфи ? | Для наземной обработки, перед применением рекомендуется тщательно перемешать препарат. Для приготовления рабочего раствора заполните бак опрыскивателя на 2/3 водой, затем добавьте полную дозу Селфи , долейте воду до нужного объема и хорошо перемешайте.
Какие меры безопасности следует соблюдать при работе с Селфи ? | После использования препарата следует тщательно промыть оборудование, не оставлять рабочий раствор в баке или распылителе, и при необходимости проводить промывку форсунок и заполнять бак водой в конце рабочего дня.
В каком температурном диапазоне можно хранить Селфи ? | Селфи можно хранить в диапазоне температур от -50°C до +35°C.
Где производится Селфи ? | Селфи производится компанией АО «Щелково Агрохим» в России.
Для чего используется Селфи ? | Селфи используется для предотвращения растрескивания стручков рапса, сои и гороха путем создания полимерной пленки на их поверхности.
Как долго полимерная пленка Селфи сохраняет свою эффективность? | Полимерная пленка Селфи сохраняет свою эффективность в течение длительного времени и не теряет своих свойств даже при неблагоприятных погодных условиях.
Каковы преимущества применения Селфи ? | Применение Селфи предоставляет ряд преимуществ, таких как создание водопроницаемой пленки, устойчивость к погодным условиям, снижение потерь при уборке и уменьшение затрат на доработку, экологическая безопасность и удобство в использовании.
Какие рекомендации по срокам обработки Селфи ? | Оптимальные сроки обработки культур Селфи составляют 2 недели до уборки, ранний срок - 3-4 недели до уборки, а поздний - не позже чем за 1 неделю до уборки.
Какой класс опасности у Селфи ? | Селфи относится к 4 классу опасности, то есть является малоопасным веществом.
Что такое Селфи ? | Селфи - это препарат, содержащий производное целлюлозы, вспомогательные компоненты и воду, который предназначен для предотвращения растрескивания стручков рапса, сои и гороха путем создания полимерной пленки на их поверхности.
Какие культуры можно обрабатывать с помощью Селфи ? | Препарат подходит для обработки рапса, сои и гороха. Нормы расхода и способ обработки могут различаться в зависимости от типа культуры.
Какие характеристики хранения у Селфи ? | Препарат можно хранить в температурном интервале от -50°C до +35°C. Гарантийный срок хранения составляет 3 года.
Какие характеристики упаковки Селфи ? | Препарат упаковывается в канистры объемом 5 и 10 литров.
Какие меры предосторожности следует соблюдать при использовании Селфи ? | После применения препарата необходимо тщательно промыть оборудование и не оставлять рабочий раствор в баке или распылителе. Если обработку планируется проводить в течение нескольких дней подряд, в конце каждого рабочего дня рекомендуется заполнять бак водой и промывать форсунки.
