В какой класс опасности для пчел относится препарат Апекс, МКЭ? | Препарат Апекс, МКЭ относится к 3 классу опасности для пчел, он малоопасный.
Какая упаковка препарата Апекс, МКЭ представлена на рынке? | Препарат Апекс, МКЭ представлен в канистре объемом 5 литров.
Где рекомендуется проводить приготовление рабочей жидкости и заправку опрыскивателя препаратом Апекс, МКЭ? | Приготовление рабочей жидкости и заправку опрыскивателя препаратом Апекс, МКЭ рекомендуется проводить на специальных площадках, которые в дальнейшем подвергаются обезвреживанию.
Что обеспечивает масляная пленка на обработанной поверхности? | Масляная пленка на обработанной поверхности позволяет дольше сохранять д.в. в жидком виде, препятствуя кристаллизации, испарению и смыванию осадками, обеспечивая эффективность действия препарата при неблагоприятных погодных условиях.
Какие опрыскиватели применяются для внесения препарата Апекс, МКЭ? | Для внесения препарата Апекс, МКЭ применяются серийно выпускаемые наземные опрыскиватели и садовые дистанционные опрыскиватели.
Как необходимо приготовить рабочую жидкость перед опрыскиванием препаратом Апекс, МКЭ? | Рабочую жидкость следует готовить непосредственно перед опрыскиванием. Для этого требуется отмерить требуемое количество препарата на одну заправку опрыскивателя, заполнить бак на половину водой, добавить полную дозу препарата, долить оставшееся количество воды и тщательно перемешать.
В какой класс опасности относится препарат Апекс, МКЭ? | Препарат Апекс, МКЭ относится к 3 классу опасности, он умеренно опасный.
В каком температурном интервале необходимо хранить препарат Апекс, МКЭ? | Препарат Апекс, МКЭ необходимо хранить в температурном интервале от -10 до +35 °C.
Для чего применяются серийно выпускаемые наземные опрыскиватели и садовые дистанционные опрыскиватели? | Серийно выпускаемые наземные опрыскиватели и садовые дистанционные опрыскиватели применяются для внесения инсектицидов, в том числе препарата Апекс, МКЭ.
Какому химическому классу принадлежит действующее вещество препарата Апекс, МКЭ? | Действующее вещество препарата Апекс, МКЭ принадлежит к химическому классу ювеноидов.
Какая дозировка препарата Апекс, МКЭ рекомендуется для обработки томата и огурца защищенного грунта? | Для обработки томата и огурца защищенного грунта дозировка препарата Апекс, МКЭ составляет 0,2-0,3 л/га.
Какова остаточная активность пирипроксифена? | Пирипроксифен имеет длительную остаточную активность, вызывая летальные нарушения у всех стадий развития насекомых, включая последующие.
Каким образом действует препарат Апекс, МКЭ на вредителей? | Препарат Апекс, МКЭ нарушает гормональный баланс у вредителей, вызывая необратимые нарушения в их развитии и приводя к гибели.
Какой объем рабочей жидкости рекомендуется использовать при обработке томата и огурца защищенного грунта препаратом Апекс, МКЭ? | При обработке томата и огурца защищенного грунта препаратом Апекс, МКЭ рекомендуется использовать 1000-3000 л/га рабочей жидкости.
Какими культурами рекомендуется обрабатывать препаратом Апекс, МКЭ капустную моль, белянок и капустную совку? | Препарат Апекс, МКЭ рекомендуется обрабатывать культуры рапса ярового и озимого.
Какие сорняки и вредители рекомендуется обрабатывать препаратом Апекс, МКЭ на яблоне? | Препарат Апекс, МКЭ рекомендуется обрабатывать против калифорнийской щитовки и яблонной плодожорки на яблоне.
Для каких культур рекомендуется использовать препарат Апекс, МКЭ? | Препарат Апекс, МКЭ рекомендуется для защиты посевов рапса, плодовых и овощных культур.
Какой расход препарата Апекс, МКЭ рекомендуется на томате и огурце защищенного грунта для борьбы с тепличной белокрылкой? | Расход препарата Апекс, МКЭ на томате и огурце защищенного грунта для борьбы с тепличной белокрылкой составляет 0,2-0,3 л/га.
Какие культуры обрабатываются препаратом Апекс, МКЭ? | Препарат Апекс, МКЭ рекомендуется для обработки культур рапса, яблони, томата и огурца.
Какая дозировка препарата Апекс, МКЭ рекомендуется для обработки рапса ярового и озимого? | Для обработки рапса ярового и озимого дозировка препарата Апекс, МКЭ составляет 0,3-0,5 л/га.
