Какой температурный интервал рекомендуется для хранения препарата ЗИМ 500? | Рекомендуется хранить препарат ЗИМ 500 в температурном интервале от минус 10°C до плюс 30°C.
Какая гарантия предоставляется на препарат ЗИМ 500? | Препарат ЗИМ 500 имеет гарантийный срок в 2 года.
Каким образом осуществляется обработка препаратом ЗИМ 500 пшеницы озимой и яровой для защиты от мучнистой росы и гельминтоспориоза? | Пшеница озимая и яровая обрабатываются препаратом ЗИМ 500 в период вегетации для защиты от мучнистой росы и гельминтоспориоза.
Какие культуры и заболевания могут быть обработаны препаратом ЗИМ 500 для предотвращения полегания? | Препарат ЗИМ 500 может быть применен на пшенице озимой с целью предотвращения полегания и защиты от корневых и прикорневых гнилей.
В какой фазе проводится опрыскивание зерновых культур препаратом ЗИМ 500? | Зерновые культуры обрабатываются препаратом ЗИМ 500 в фазу кущения.
Как долго длится период защитного действия препарата ЗИМ 500? | Период защитного действия препарата ЗИМ 500 составляет до 3 недель.
В какой класс опасности входит препарат ЗИМ 500? | Препарат ЗИМ 500 относится к 2 классу опасности, являясь высокоопасным веществом.
Каким образом препарат ЗИМ 500 сдерживает развитие снежной плесени? | Препарат ЗИМ 500 сдерживает развитие снежной плесени даже при высоком инфекционном фоне благодаря своему мощному куративному, искореняющему и профилактическому действию.
В каких случаях следует проводить приготовление рабочего раствора и заправку опрыскивателя? | Приготовление рабочего раствора и заправку опрыскивателя следует проводить на специальных площадках, которые затем подвергаются обезвреживанию.
Как проводится обработка пшеницы и ячменя озимых и яровых против пыльной головни, твердой головни и других гнилей препаратом ЗИМ 500? | Для защиты от пыльной головни, твердой головни и других гнилей на пшенице и ячмене озимых и яровых используется препарат ЗИМ 500, с расходом 1,0-1,5 л/га. Также проводится протравливание семян.
В какой форме применяется препарат ЗИМ 500 для обработки семян пшеницы и ячменя? | Препарат ЗИМ 500 применяется в форме протравливания семян пшеницы и ячменя для эффективной защиты от указанных заболеваний.
В какой упаковке представлен препарат ЗИМ 500? | Препарат ЗИМ 500 поставляется в упаковке - канистре объемом 10 литров.
Что такое препарат ЗИМ 500, КС? | Препарат ЗИМ 500, КС - это концентрат суспензии с содержанием 500 г/л карбендазима, системный фунгицид, предназначенный для защиты зерновых культур и сахарной свеклы от разнообразных заболеваний.
Какая скорость воздействия у препарата ЗИМ 500? | Препарат ЗИМ 500 начинает оказывать свое воздействие через 3-5 часов после обработки.
Каковы результаты фитотоксичности при использовании препарата ЗИМ 500 в рекомендуемых дозах? | В рекомендуемых дозах препарат ЗИМ 500 не оказывает фитотоксического действия, и культурные растения проявляют высокую толерантность к нему.
Какова возможность возникновения резистентности при использовании препарата ЗИМ 500? | При соблюдении рекомендуемых норм расхода и технологии применения, риск возникновения резистентности к препарату ЗИМ 500 крайне маловероятен.
Сколько времени требуется для проявления скорости воздействия препарата ЗИМ 500? | Процесс действия препарата начинается через 3-5 часов после обработки.
Каким образом следует приготовить рабочий раствор препарата ЗИМ 500 перед опрыскиванием? | Для приготовления рабочего раствора препарата ЗИМ 500 перед опрыскиванием необходимо наполовину заполнить бак опрыскивателя водой, затем добавить полную дозу препарата и долить оставшееся количество воды. Перемешивание продолжается и во время обработки посевов для обеспечения равномерности раствора.
